# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.08359040 0.13185130 0.22837310 
0.059349  1.535360 
0.060185  1.554423 
0.061021  1.573393 
0.061857  1.592272 
0.062693  1.611057 
0.063529  1.629748 
0.064365  1.648345 
0.065200  1.666846 
0.066036  1.685250 
0.066872  1.703557 
0.067708  1.721766 
0.068544  1.739876 
0.069380  1.757885 
0.070216  1.775794 
0.071052  1.793600 
0.071888  1.811303 
0.072724  1.828901 
0.073559  1.846394 
0.074395  1.863781 
0.075231  1.881060 
0.076067  1.898230 
0.076903  1.915290 
0.077739  1.932238 
0.078575  1.939761 
0.079411  1.916174 
0.080247  1.892539 
0.081083  1.868857 
0.081919  1.845134 
0.082754  1.821372 
0.083590  1.797576 

0.083590  1.797576 
0.084073  1.797606 
0.084556  1.797696 
0.085038  1.797845 
0.085521  1.798055 
0.086003  1.798324 
0.086486  1.798653 
0.086969  1.799041 
0.087451  1.799490 
0.087934  1.799999 
0.088416  1.800568 
0.088899  1.801198 
0.089382  1.801888 
0.089864  1.802638 
0.090347  1.803449 
0.090829  1.804320 
0.091312  1.805253 
0.091795  1.806246 
0.092277  1.807301 
0.092760  1.808417 
0.093243  1.809594 
0.093725  1.810834 
0.094208  1.812135 
0.094690  1.813498 
0.095173  1.814923 
0.095656  1.816411 
0.096138  1.817961 
0.096621  1.819574 
0.097103  1.821251 
0.097586  1.822990 
0.098069  1.824793 
0.098551  1.826660 
0.099034  1.828590 
0.099516  1.830585 
0.099999  1.832644 
0.100482  1.834767 
0.100964  1.836956 
0.101447  1.839209 
0.101930  1.841527 
0.102412  1.843911 
0.102895  1.846360 
0.103377  1.848876 
0.103860  1.851457 
0.104343  1.854104 
0.104825  1.856818 
0.105308  1.859598 
0.105790  1.862445 
0.106273  1.865359 
0.106756  1.868340 
0.107238  1.871388 
0.107721  1.874503 
0.108203  1.877686 
0.108686  1.880937 
0.109169  1.884255 
0.109651  1.887641 
0.110134  1.891096 
0.110617  1.894618 
0.111099  1.898208 
0.111582  1.901866 
0.112064  1.905593 
0.112547  1.909387 
0.113030  1.913250 
0.113512  1.917182 
0.113995  1.921181 
0.114477  1.925249 
0.114960  1.929385 
0.115443  1.933589 
0.115925  1.937861 
0.116408  1.942201 
0.116890  1.946610 
0.117373  1.951085 
0.117856  1.955629 
0.118338  1.960240 
0.118821  1.964919 
0.119303  1.969665 
0.119786  1.974478 
0.120269  1.979357 
0.120751  1.984304 
0.121234  1.989316 
0.121717  1.994395 
0.122199  1.999540 
0.122682  2.004750 
0.123164  2.010026 
0.123647  2.015366 
0.124130  2.020771 
0.124612  2.026241 
0.125095  2.031774 
0.125577  2.037371 
0.126060  2.043030 
0.126543  2.048753 
0.127025  2.054538 
0.127508  2.060384 
0.127990  2.066292 
0.128473  2.072261 
0.128956  2.078290 
0.129438  2.084379 
0.129921  2.090527 
0.130404  2.096734 
0.130886  2.103000 
