# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.08776990 0.13844380 0.23979180 
0.078993  2.214256 
0.079871  2.228223 
0.080748  2.199398 
0.081626  2.170504 
0.082504  2.141546 
0.083381  2.112528 
0.084259  2.083453 
0.085137  2.054325 
0.086014  2.025148 
0.086892  1.995927 
0.087770  1.966666 

0.087770  1.966666 
0.088277  1.966700 
0.088783  1.966800 
0.089290  1.966968 
0.089797  1.967204 
0.090304  1.967506 
0.090810  1.967876 
0.091317  1.968314 
0.091824  1.968819 
0.092330  1.969392 
0.092837  1.970033 
0.093344  1.970742 
0.093851  1.971519 
0.094357  1.972365 
0.094864  1.973279 
0.095371  1.974262 
0.095878  1.975315 
0.096384  1.976437 
0.096891  1.977628 
0.097398  1.978890 
0.097905  1.980222 
0.098411  1.981624 
0.098918  1.983098 
0.099425  1.984642 
0.099932  1.986258 
0.100438  1.987947 
0.100945  1.989707 
0.101452  1.991540 
0.101959  1.993447 
0.102465  1.995426 
0.102972  1.997480 
0.103479  1.999608 
0.103985  2.001810 
0.104492  2.004087 
0.104999  2.006440 
0.105506  2.008869 
0.106012  2.011374 
0.106519  2.013955 
0.107026  2.016613 
0.107533  2.019349 
0.108039  2.022163 
0.108546  2.025054 
0.109053  2.028025 
0.109560  2.031074 
0.110066  2.034203 
0.110573  2.037411 
0.111080  2.040699 
0.111587  2.044068 
0.112093  2.047517 
0.112600  2.051048 
0.113107  2.054659 
0.113614  2.058353 
0.114120  2.062128 
0.114627  2.065986 
0.115134  2.069926 
0.115641  2.073949 
0.116147  2.078055 
0.116654  2.082244 
0.117161  2.086516 
0.117667  2.090872 
0.118174  2.095312 
0.118681  2.099835 
0.119188  2.104443 
0.119694  2.109135 
0.120201  2.113911 
0.120708  2.118771 
0.121215  2.123716 
0.121721  2.128745 
0.122228  2.133858 
0.122735  2.139056 
0.123242  2.144338 
0.123748  2.149705 
0.124255  2.155155 
0.124762  2.160690 
0.125269  2.166309 
0.125775  2.172012 
0.126282  2.177798 
0.126789  2.183668 
0.127296  2.189622 
0.127802  2.195658 
0.128309  2.201778 
0.128816  2.207979 
0.129323  2.214264 
0.129829  2.220630 
0.130336  2.227078 
0.130843  2.233607 
0.131350  2.240217 
0.131856  2.246907 
0.132363  2.253678 
0.132870  2.260528 
0.133376  2.267457 
0.133883  2.274465 
0.134390  2.281552 
0.134897  2.288716 
0.135403  2.295957 
0.135910  2.303274 
0.136417  2.310668 
0.136924  2.318137 
0.137430  2.325681 
0.137937  2.333299 
0.138444  2.340990 

0.138444  2.340990 
0.139457  2.356590 
0.140471  2.372476 
0.141484  2.388642 
0.142498  2.405082 
0.143511  2.421789 
0.144525  2.438757 
0.145538  2.455980 
0.146552  2.473450 
0.147565  2.491161 
0.148579  2.509104 
0.149592  2.527274 
0.150606  2.545662 
0.151619  2.564260 
0.152633  2.583061 
0.153646  2.594332 
0.154660  2.567211 
0.155673  2.539976 
0.156687  2.512627 
0.157700  2.485166 
0.158713  2.457594 
0.159727  2.429913 
0.160740  2.402123 
0.161754  2.374227 
0.162767  2.346224 
0.163781  2.318117 
0.164794  2.289907 
0.165808  2.261594 
0.166821  2.233181 
0.167835  2.204667 
0.168848  2.176056 
0.169862  2.147346 
0.170875  2.118541 
0.171889  2.089640 
0.172902  2.060646 
0.173916  2.031558 
0.174929  2.002379 
0.175943  1.973109 
0.176956  1.943749 
0.177970  1.914302 
0.178983  1.884767 
0.179997  1.855146 
0.181010  1.825439 
0.182024  1.795649 
0.183037  1.765777 
0.184050  1.735822 
0.185064  1.705787 
0.186077  1.675673 
0.187091  1.645480 
0.188104  1.615211 
0.189118  1.584865 
0.190131  1.554445 
0.191145  1.523951 
0.192158  1.493385 
0.193172  1.462747 
0.194185  1.432040 
0.195199  1.401264 
0.196212  1.370420 
0.197226  1.339510 
0.198239  1.308535 
0.199253  1.277496 
0.200266  1.246395 
0.201280  1.215232 
0.202293  1.184009 
0.203307  1.152728 
0.204320  1.121390 
0.205334  1.089995 
0.206347  1.058547 
